seq,fold,mfe1,mfe2,icshape,binding,rpkm,relatelen,utrrate,predicted_score
0.22745389,0.06462964,0.098412,0.17185605,0.0,0.42016548,4.74635e-06,0.010764039,0.0067141545,-0.0064748526
0.24270536,0.044289015,0.012866807,0.006914268,0.0,0.653972,2.0541967e-05,0.01288319,0.026348699,-0.013018124
0.1956138,0.09791988,0.048033167,0.10472331,0.0,0.5080173,7.3496512e-06,0.005974682,0.03971049,0.03771878
0.29134023,0.03081817,0.06639472,0.200153,0.0,0.40298092,1.3259041e-05,0.0035209788,0.0047787274,0.007921763
0.20653011,0.057442818,0.035544124,0.051749308,0.0,0.6267613,1.4596885e-05,0.0115692485,0.010388482,0.0065357313
0.23977783,0.0678949,0.050868418,0.1744441,0.0,0.42323488,1.3154005e-05,0.0103864,0.033380263,-0.06880199
0.20092824,0.038809527,0.088318735,0.2673589,0.0,0.37200382,8.4443045e-06,0.008613783,0.023958538,0.03141077
0.16188467,0.080029376,0.024538651,0.14059463,0.0,0.5229354,1.1534486e-05,0.0047805603,0.0652252,0.04281982
0.16003408,0.0730334,0.051074415,0.22494397,0.0,0.4417436,1.6764404e-06,0.005467039,0.043701876,0.033681028
0.17288257,0.07985198,0.056627985,0.19398978,0.0,0.45632604,1.3980987e-05,0.015246641,0.025060982,0.015196659
0.22142331,0.15730406,0.014174535,0.08444575,0.0,0.4966089,1.5668224e-05,0.0027195069,0.02330828,0.012492932
0.24052101,0.07872993,0.06383898,0.17617355,0.0,0.41855404,2.179161e-06,0.012518119,0.009662176,-0.015151165
0.20406978,0.04333084,0.044911332,0.28360972,0.0,0.39052302,3.5572276e-07,0.0078381365,0.02571683,0.00095921755
0.2730274,0.035179332,0.066863984,0.23096627,0.0,0.3679123,7.271921e-06,0.010428402,0.015614991,-0.05361916
0.20415333,0.08655465,0.07945993,0.1591707,0.0,0.4334714,1.0904453e-05,0.0127944,0.024384674,-0.068206124
0.2661646,0.055240534,0.053494167,0.24488309,0.0,0.3531648,3.924421e-06,0.0127718635,0.014276992,-0.0023587868
0.25764298,0.06727085,0.053212523,0.22337504,0.0,0.3705446,2.973046e-06,0.004705298,0.023245782,-0.019682627
0.1966719,0.065366566,0.06858791,0.2483125,0.0,0.39756328,9.460066e-06,0.004249465,0.01923892,-0.030110873
0.31371614,0.060133256,0.0011982478,0.07963925,0.0,0.49956036,1.4087243e-05,0.00612308,0.039615568,0.040067382
0.21332474,0.04888573,0.029281735,0.21336524,0.0,0.4677733,1.1218707e-05,0.006677456,0.020680511,0.015053138
0.27374873,0.08142876,0.057952724,0.09128475,0.0,0.47022766,2.662141e-06,0.0093653295,0.01598943,0.00633204
0.19974601,0.057473745,0.11085912,0.1592644,0.0,0.4441298,8.635471e-06,0.010238005,0.01828026,-0.078362904
0.19517545,0.060302824,0.07144465,0.10257888,0.0,0.5354913,1.0453971e-05,0.016093673,0.018902766,0.012231261
0.28319925,0.07802576,0.09405575,0.06879749,0.0,0.45579585,4.8985953e-06,0.011024338,0.009096666,0.012646288
0.2416217,0.08249599,0.050105296,0.038279627,0.0,0.561394,7.77067e-06,0.009825122,0.016270466,0.0038937852
0.20470743,0.07223391,0.09661792,0.08445527,0.0,0.5024382,3.1459845e-06,0.014108416,0.025435746,0.00582774
0.15135305,0.069277234,0.06483171,0.16291973,0.0,0.5299375,1.019459e-05,0.008200564,0.013469992,0.021210067
